StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Pconsent_self,gender,bday,race_ethnicity,P1ed,P2ed,income,city,state,device,device-type,account,ytkids,controls,controls_type,Ptime,time_photo_Id,time_photo_Name,time_photo_Size,time_photo_Type,subs,history_photo_Id,history_photo_Name,history_photo_Size,history_photo_Type,observations,yt_opinions_1,yt_opinions_2,yt_opinions_3,yt_opinions_4,yt_opinions_5,concerns,Pconsent-child,opp,gc,term,Q_BallotBoxStuffing,Q_CHL,expected_ir,expected_loi,Country,expected_n,tg,transaction_id,SVID,PS,Child_age,Response
2025-03-04 02:25:23,2025-03-04 02:30:58,IP Address,174.243.145.152,100,335,True,2025-03-04 02:30:59,R_7NldY7ZV4MG1ahP,,,,,34.0447,-118.2946,anonymous,EN,0.800000011920929,,0,25,,Agree,Male,2010,White,Some college,Some college,"$50,000 through $74,999","Washington ",WA,Yes,iPhone,Yes,No,No,No,60,,,,,Mina Le,,,,,"No ",A lot,A great deal,A moderate amount,A lot,A lot,"YouTube ",Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,3uN3J6sYEPbnvlJsb9uPAC,36661704,1449,2010,Complete
2025-03-04 04:33:27,2025-03-04 04:38:21,IP Address,,100,293,True,2025-03-04 04:38:22,R_5QE79wlqc9Nrz4n,,,,,,,anonymous,EN,0.699999988079071,,0,20,,Agree,Male,07/02/1981,White,"Master's degree (e.g. MA, MS)","Master's degree (e.g. MA, MS)","$35,000 through $49,999",Zenia,CA,Yes,iPhone,No,No,No,10,10,,,,,10,,,,,10,None at all,None at all,A little,A little,A moderate amount,,,Qual32042-1126-Children8to13[AD]_Parent,2,Attention Check,,anonymous,.70,10,USA,220,2,6iBzv90y1KTg8PUcjPyQG5,36661704,,07/02/1981,
2025-03-04 06:02:16,2025-03-04 06:13:39,IP Address,172.56.166.122,100,682,True,2025-03-04 06:13:39,R_7TOtrRo1VgbL9Pr,,,,,40.7035,-73.9235,anonymous,EN,0.800000011920929,,0,0,,Agree,Male,08/17/2012,White,"Master's degree (e.g. MA, MS)","Bachelor's degree (e.g. BA, BS)","$100,000 or greater",Central Islip,NY,No,iPhone,No,No,No,,150,,,,,,,,,,"Children may become restless, distracted, or forget other activities.",A lot,A moderate amount,A lot,A lot,A great deal,"Yes, many parents worry about inappropriate content on YouTube.",Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,6Fin8RV3bILO0sd6d2ihzN,36661704,1449,08/17/2012,Complete
2025-03-04 08:33:19,2025-03-04 08:35:03,IP Address,,100,103,True,2025-03-04 08:35:11,R_6hXPgG7HGGQrnPn,,,,,,,anonymous,EN,0.8999999761581421,,0,0,,Agree,Male,10/06/1982,White,"Master's degree (e.g. MA, MS)","Master's degree (e.g. MA, MS)","$100,000 or greater","Seattle ",Washington,Yes,Android tablet,Yes,Yes,Yes,"it is unique ",40,,,,,,,,,,"It is unique and it is reliable ",A great deal,A lot,A great deal,A great deal,A lot,,,Qual32042-1126-Children8to13[AD]_Parent,2,Attention Check,,anonymous,.70,10,USA,220,2,0bmjsuU2HlasRLEeTxi7pt,36661704,,10/06/1982,
2025-03-04 08:40:35,2025-03-04 08:46:32,IP Address,,100,357,True,2025-03-04 08:46:33,R_3umxvLCTwL2hVPr,,,,,,,anonymous,EN,0.8999999761581421,,0,0,,Agree,Male,04/12/2012,White,High school degree or equivalent,High school degree or equivalent,"$25,000 through $34,999","Pottstown ",Pa,No,iPhone,Yes,Yes,Yes,"Controls internet ",80,,,,,"Instagram ",,,,,"No comment ",A great deal,A lot,A great deal,A great deal,A lot,,,Qual32042-1126-Children8to13[AD]_Parent,2,Attention Check,,anonymous,.70,10,USA,220,2,0c4wG0TyNHOUMbCo2iZvdC,36661704,,04/12/2012,
2025-03-04 08:47:48,2025-03-04 08:51:18,IP Address,172.58.123.220,100,210,True,2025-03-04 08:51:19,R_3E0mwK1ind1UgeQ,,,,,42.3363,-83.1348,anonymous,EN,0.800000011920929,,0,0,,Agree,Male,02/11/2013,White,Doctoral degree,Doctoral Degree,"$50,000 through $74,999",new york,new york,Yes,iPhone,Yes,Yes,Yes,"best financial plan ",30,,,,,natt and finn,,,,,too many adds available,A lot,A great deal,A moderate amount,A lot,A great deal,best downloadable videos,Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,6PgFktE3qxZZR6LHRu6w1w,36661704,1449,02/11/2013,Complete
2025-03-04 08:55:12,2025-03-04 09:01:27,IP Address,,100,375,True,2025-03-04 09:01:27,R_3aYGKtND4h7ACCl,,,,,,,anonymous,EN,0.8999999761581421,,0,0,,Agree,Male,7/15/1981,White,"Master's degree (e.g. MA, MS)","Master's degree (e.g. MA, MS)","$100,000 or greater",orlando,florida,Yes,iPhone,Yes,Yes,Yes,it's my,90,,,,,mister best,,,,,something,A great deal,A great deal,A great deal,A great deal,A great deal,,,Qual32042-1126-Children8to13[AD]_Parent,2,Attention Check,,anonymous,.70,10,USA,220,2,2ejIWfjDrxeP0AGLx8MG8E,36661704,,7/15/1981,
2025-03-04 10:31:09,2025-03-04 10:36:42,IP Address,172.58.15.180,100,333,True,2025-03-04 10:36:43,R_1i6gdZvxy96bjdT,,,,,44.9401,-93.0114,anonymous,EN,1,,0,0,,Agree,Male,07/08/2013,White,Some college,Other,"Less than $5,000","cedar rapids ",IA,Yes,Android phone,No,No,No,,20,,,,,,,,,,"I don't see any change in his behavior. ",A little,A moderate amount,A moderate amount,A lot,A moderate amount,"My son doesn't watch negative content ",Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,44bibYQZTWIHLLzFW7jBCd,36661704,1449,07/08/2013,Complete
2025-03-04 12:33:01,2025-03-04 12:36:52,IP Address,24.6.252.181,100,230,True,2025-03-04 12:36:52,R_7DnAGuMYkCcTyu2,,,,,37.8487,-122.2209,anonymous,EN,1,,0,0,,Agree,Male,04/21/2011,Black or African American,"Bachelor's degree (e.g. BA, BS)",Some college,"$50,000 through $74,999","Oakland ",CA,Yes,iPhone,Yes,Yes,Yes,"What he watching ",30,,,,,,,,,,Nothing,A lot,A lot,A lot,A lot,A lot,"Yes the games they play ",Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,65w8Wzwd3NBZOmIzjZJv69,36661704,1449,04/21/2011,Complete
2025-03-04 13:24:19,2025-03-04 13:26:59,IP Address,,100,160,True,2025-03-04 13:26:59,R_3ikvTYnkHIyQ4P5,,,,,,,anonymous,EN,1,,0,0,,Agree,Female,08/04/2015,White,"Master's degree (e.g. MA, MS)","Bachelor's degree (e.g. BA, BS)","$50,000 through $74,999",Columbia,SC,No,Some other device,No,No,No,,0,,,,,,,,,,nothing,A moderate amount,A great deal,A moderate amount,A lot,A little,we don't let our kids watch youtube unsupervised,Disagree,Qual32042-1126-Children8to13[AD]_Parent,2,Consent 2_Child,,anonymous,.70,10,USA,220,2,7HSIv4rEMzGkUkb3Lrr9VQ,36661704,,08/04/2015,
2025-03-04 19:02:07,2025-03-04 19:03:16,IP Address,,100,69,True,2025-03-04 19:03:17,R_5qwNIoWfXSPuOxb,,,,,,,anonymous,EN,0.8999999761581421,,0,0,,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual32042-1126-Children8to13[AD]_Parent,2,Consent_1,,anonymous,.70,10,USA,220,2,1wOEyklxntGg8cytztjn8H,36661704,,,
2025-03-04 19:37:46,2025-03-04 19:40:48,IP Address,72.208.174.103,100,182,True,2025-03-04 19:40:49,R_5qEjSgaiRWqvXlG,,,,,33.5038,-112.0253,anonymous,EN,0.8999999761581421,,0,0,,Agree,Male,07/07/1994,White,"Bachelor's degree (e.g. BA, BS)","Master's degree (e.g. MA, MS)","$100,000 or greater","New york ",NY,Yes,Android tablet,Yes,Yes,Yes,"I'm the one ",110,,,,,,,,,,"They are more friendly and exciting ",A great deal,A great deal,A great deal,A lot,A great deal,"I haven't been experiencing such since I started ",Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,3tkwGrKrqxt9ZVSemXKsTs,36661704,1449,07/07/1994,Complete
2025-03-04 20:40:22,2025-03-04 20:42:58,IP Address,24.169.11.232,100,156,True,2025-03-04 20:42:59,R_3Cv1XjVA4EWnsNH,,,,,42.7298,-73.6959,anonymous,EN,1,,0,0,,Agree,Female,10/07/2007,"Black or African American,Hispanic or Latino/a",Some college,Some college,"$16,000 through $24,999","New York ",NY,Yes,iPad tablet,Yes,No,No,,3,,,,,None,,,,,No,A lot,A lot,A moderate amount,A lot,A moderate amount,No not yet,Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,4sPnXv93fhgSMGxaWTaoJH,36661704,1449,10/07/2007,Complete
2025-03-04 23:29:41,2025-03-04 23:50:32,IP Address,,100,1250,True,2025-03-04 23:50:33,R_74vcMJGAsw6OfDt,,,,,,,anonymous,EN,1,,0,5,,Agree,Male,8/15/1966,White,"Master's degree (e.g. MA, MS)","Master's degree (e.g. MA, MS)","$100,000 or greater",Texas,Texas,Yes,Android phone,Yes,Yes,Yes,Restricted mode an dtime limits help ensure safe and controlled content access on my child's YouTube account.,120,F_2vkS0mV9PhwYje5,101.PNG,7586,image/png,Five Minutes,F_2q1X2DTN5znXWTm,300x0w.jpg,47524,image/jpeg,"My child sometimes become more curious and talkative after watching educational videos, but I'm concerned about potential exposure to inappropriate content.",A lot,A great deal,A lot,A moderate amount,A lot,,,Qual32042-1126-Children8to13[AD]_Parent,2,Attention Check,,anonymous,.70,10,USA,220,2,2pZvoSZhj7Hi6PHRMkW8P1,36661704,,8/15/1966,
2025-03-05 05:43:16,2025-03-05 05:47:24,IP Address,,100,248,True,2025-03-05 05:47:25,R_7eek5hWyzfsyA27,,,,,,,anonymous,EN,1,,0,0,,Agree,Male,02/21/2014,Multiracial,High school degree or equivalent,Some college,"$50,000 through $74,999",Colorado Springs,Colorado,Yes,Some other device,No,No,No,,0,,,,,,,,,,My child does not watch YouTube.,None at all,None at all,None at all,None at all,A little,,,Qual32042-1126-Children8to13[AD]_Parent,2,Attention Check,,anonymous,.70,10,USA,220,2,2Jc0zdNybOAuvp6bsJwj8a,36661704,,02/21/2014,
